"","subject_id","question_id","question_type","response"
"1","NO_USER_ID","session_id","text","CRN"
"2","NO_USER_ID","code_name","text","lettuce"
"3","NO_USER_ID","group","text","A"
"4","NO_USER_ID","Q2_1","text","1"
"5","NO_USER_ID","Q2_2","text","2"
"6","NO_USER_ID","Q2_3","text","3"
"7","NO_USER_ID","Q2_4","text","4"
"8","NO_USER_ID","Q2_5","text","6"
"9","NO_USER_ID","Q2_6","text","5"
"10","NO_USER_ID","Q2_7","text","7"
"11","NO_USER_ID","Q2_8","text","8"
"12","NO_USER_ID","Q2_9","text","9"
"13","NO_USER_ID","Q2_10","text","10"
"14","NO_USER_ID","Q2_11","text","11"
"15","NO_USER_ID","Q2_12","text","13"
"16","NO_USER_ID","Q2_13","text","14"
"17","NO_USER_ID","Q2_14","text","15"
"18","NO_USER_ID","Q2_15","text","12"
